local_year_month,Unnamed: 0,V1,station_id,B1,B2,B3,B4,id,organization,region,local,lat,long,date,chla,tss,secchi,acdom440,predicted
Curuai_2003_11,570,4640,Curuai_11_2003_PCN62,0.0201197718317412,0.0319952047529041,0.0383465771620569,0.0382027606020624,45,LabISA-INPE,AMZ,Curuai,-2.07575,-55.459599,2003-11-30,23.9468,518.76,0.06,,0.08399992
Curuai_2003_11,571,4641,Curuai_11_2003_PCN63,0.0231502158432967,0.032550616599231,0.0373880724542763,0.0410473751586889,45,LabISA-INPE,AMZ,Curuai,-2.07717,-55.522598,2003-11-30,49.2239,739.27,0.06,,0.061583348
Curuai_2003_11,572,4642,Curuai_11_2003_PCN64,0.0248449624567531,0.0351637835710662,0.0408509811026175,0.0462876489016584,45,LabISA-INPE,AMZ,Curuai,-2.07314,-55.5037,2003-11-30,45.5956,736.28,0.06,,0.059239935
Curuai_2003_11,573,4643,Curuai_11_2003_PCN65,0.0226982950784449,0.0341531960029866,0.0400803678872115,0.0405592520130496,45,LabISA-INPE,AMZ,Curuai,-2.06517,-55.490601,2003-11-30,38.0971,583.77,0.07,,0.07271646
Curuai_2003_11,574,4644,Curuai_11_2003_PCN66,0.024605953470836,0.0391075184778817,0.0476388154607051,0.0537819317657896,45,LabISA-INPE,AMZ,Curuai,-2.0735,-55.479401,2003-11-30,36.0411,580.43,0.06,,0.08142008
Curuai_2003_11,576,4646,Curuai_11_2003_PCN68,0.0212019433658167,0.0308361996249265,0.0360206396633516,0.0377331877457457,45,LabISA-INPE,AMZ,Curuai,-2.12656,-55.456402,2003-11-30,32.8966,651.99,0.06,,0.062544234
Curuai_2003_11,582,4652,Curuai_11_2003_PIN01,0.0200451575880914,0.0276059452649289,0.032099063561041,0.0356824146854175,45,LabISA-INPE,AMZ,Curuai,-2.0995,-55.443802,2003-11-22,,,0.07,,0.059741005
Curuai_2003_11,583,4653,Curuai_11_2003_PIN02,0.0218468806008901,0.0295566274713983,0.0341748637072046,0.0376323994927779,45,LabISA-INPE,AMZ,Curuai,-2.1125,-55.445099,2003-11-22,,,0.07,,0.055609066
Curuai_2003_11,584,4654,Curuai_11_2003_PIN03,0.0215358855572032,0.0289132968105274,0.0333171561435678,0.0369270215534978,45,LabISA-INPE,AMZ,Curuai,-2.11669,-55.4277,2003-11-22,,,0.07,,0.05790872
Curuai_2003_11,585,4655,Curuai_11_2003_PIN04,0.023340333780154,0.0303901754869509,0.0346470333750448,0.0393503323494639,45,LabISA-INPE,AMZ,Curuai,-2.10342,-55.426899,2003-11-22,,,0.07,,0.058440566
Curuai_2003_11,586,4656,Curuai_11_2003_PIN05,0.0244697461998057,0.0320259683379583,0.0366278016020141,0.0414032750079101,45,LabISA-INPE,AMZ,Curuai,-2.09461,-55.4165,2003-11-22,,,0.06,,0.055763204
Curuai_2003_11,587,4657,Curuai_11_2003_PIN06,0.0156050144850863,0.0175999391288581,0.0185979968467523,0.0185033943039852,45,LabISA-INPE,AMZ,Curuai,-2.0985,-55.4049,2003-11-22,,,0.06,,0.40984714
Curuai_2003_11,588,4658,Curuai_11_2003_PIN07,0.0178805143046684,0.0242722027953171,0.0280013329318733,0.029951897522942,45,LabISA-INPE,AMZ,Curuai,-2.11,-55.4006,2003-11-22,,,0.06,,0.09279123
Curuai_2003_11,589,4659,Curuai_11_2003_PIN08,0.0192583075178017,0.0268310415188928,0.0314244000422042,0.0354725997548938,45,LabISA-INPE,AMZ,Curuai,-2.12022,-55.396702,2003-11-22,,,0.06,,0.061649323
Curuai_2003_11,590,4660,Curuai_11_2003_PIN09,0.0159554541498834,0.0230825045020038,0.0274044621453932,0.0323922336126454,45,LabISA-INPE,AMZ,Curuai,-2.12372,-55.413898,2003-11-22,,,0.07,,0.116183594
Curuai_2003_11,591,4661,Curuai_11_2003_PIN10,0.0247421726666062,0.0348067790769743,0.0404889240391717,0.0457707438919094,45,LabISA-INPE,AMZ,Curuai,-2.13108,-55.410198,2003-11-22,,,0.07,,0.057265423
Curuai_2003_11,592,4662,Curuai_11_2003_PIN100,0.0224283721579037,0.0343102243079383,0.0404064525497019,0.0401046642923745,45,LabISA-INPE,AMZ,Curuai,-2.05419,-55.4902,2003-11-30,,,0.06,,0.07853903
Curuai_2003_11,593,4663,Curuai_11_2003_PIN101,0.0222182566171619,0.0349462969104159,0.0416005560375656,0.0416025764225616,45,LabISA-INPE,AMZ,Curuai,-2.0655,-55.479801,2003-11-30,,,0.06,,0.08574459
Curuai_2003_11,594,4664,Curuai_11_2003_PIN102,0.0248816556630129,0.0391362781869552,0.0481638994436008,0.0614139225955226,45,LabISA-INPE,AMZ,Curuai,-2.07253,-55.490002,2003-11-30,,,0.06,,0.070742115
Curuai_2003_11,595,4665,Curuai_11_2003_PIN103,0.0257474193296327,0.0412741048389755,0.0503587090105467,0.0555923920869464,45,LabISA-INPE,AMZ,Curuai,-2.07736,-55.4701,2003-11-30,,,0.06,,0.08803029
Curuai_2003_11,596,4666,Curuai_11_2003_PIN104,0.020934376350091,0.0331093838271154,0.0395451745528291,0.0386127439925878,45,LabISA-INPE,AMZ,Curuai,-2.07447,-55.452202,2003-11-30,,,0.06,,0.08411634
Curuai_2003_11,597,4667,Curuai_11_2003_PIN105,0.0205180647345632,0.0301450755986868,0.0351979640094959,0.0389150752968236,45,LabISA-INPE,AMZ,Curuai,-2.07281,-55.515202,2003-11-30,,,0.07,,0.06524048
Curuai_2003_11,598,4668,Curuai_11_2003_PIN107,0.0215970829190703,0.03180925073233,0.0369444959997166,0.039509450719476,45,LabISA-INPE,AMZ,Curuai,-2.08106,-55.5144,2003-11-30,,,0.06,,0.0683053
Curuai_2003_11,599,4669,Curuai_11_2003_PIN108,0.0229069125750802,0.03384486904097,0.0397656717108593,0.0422555710223741,45,LabISA-INPE,AMZ,Curuai,-2.07861,-55.482899,2003-11-30,,,0.06,,0.06464407
Curuai_2003_11,600,4670,Curuai_11_2003_PIN109,0.0231086334882363,0.0331423908625592,0.0382129181958073,0.0396500458177195,45,LabISA-INPE,AMZ,Curuai,-2.12786,-55.464001,2003-11-30,,,0.06,,0.06434481
Curuai_2003_11,601,4671,Curuai_11_2003_PIN11,0.0223577828205323,0.0301306455498088,0.0347829142423689,0.0391624322999308,45,LabISA-INPE,AMZ,Curuai,-2.12925,-55.395901,2003-11-22,,,0.06,,0.05622953
Curuai_2003_11,602,4672,Curuai_11_2003_PIN110,0.0214656416480189,0.0314588069181673,0.0367729635008731,0.0388057630050717,45,LabISA-INPE,AMZ,Curuai,-2.13019,-55.457298,2003-11-30,,,0.06,,0.06444831
Curuai_2003_11,603,4673,Curuai_11_2003_PIN111,0.0260971362524703,0.0386134918066754,0.0463735288718288,0.0552749373280692,45,LabISA-INPE,AMZ,Curuai,-2.12497,-55.449699,2003-11-30,,,0.06,,0.05997915
Curuai_2003_11,612,4682,Curuai_11_2003_PIN12,0.0229849814519932,0.0306760307616156,0.0351758328064118,0.0385206085817585,45,LabISA-INPE,AMZ,Curuai,-2.11636,-55.4151,2003-11-22,,,0.07,,0.057599712
Curuai_2003_11,622,4692,Curuai_11_2003_PIN13,0.0327314469698646,0.04653369617214,0.0541045206688463,0.0575526963914971,45,LabISA-INPE,AMZ,Curuai,-2.17694,-55.654202,2003-11-23,,,0.07,,0.088859096
Curuai_2003_11,624,4694,Curuai_11_2003_PIN14,0.0189774460684374,0.0279733439652691,0.0329105204665512,0.0346167827012117,45,LabISA-INPE,AMZ,Curuai,-2.17197,-55.6245,2003-11-23,,,0.07,,0.06789978
Curuai_2003_11,625,4695,Curuai_11_2003_PIN15,0.0176794849694992,0.0271240555135327,0.0326871064219844,0.0318055161367946,45,LabISA-INPE,AMZ,Curuai,-2.18058,-55.615898,2003-11-23,,,0.07,,0.0797041
Curuai_2003_11,626,4696,Curuai_11_2003_PIN16,0.0201239179783988,0.0288117054940979,0.0335908366749692,0.0341800219276304,45,LabISA-INPE,AMZ,Curuai,-2.17669,-55.589001,2003-11-23,,,0.07,,0.061414517
Curuai_2003_11,627,4697,Curuai_11_2003_PIN17,0.0195114010421839,0.0286429309558102,0.0335326024696511,0.0329304537431334,45,LabISA-INPE,AMZ,Curuai,-2.15633,-55.579102,2003-11-23,,,0.08,,0.06617075
Curuai_2003_11,628,4698,Curuai_11_2003_PIN18,0.0204982128027422,0.0299246680992454,0.0351012871621498,0.0356746779057271,45,LabISA-INPE,AMZ,Curuai,-2.14181,-55.556099,2003-11-23,,,0.07,,0.062029872
Curuai_2003_11,629,4699,Curuai_11_2003_PIN19,0.0321993264965738,0.0457708972707498,0.053251891886883,0.0578227198697586,45,LabISA-INPE,AMZ,Curuai,-2.12456,-55.546799,2003-11-23,,,0.07,,0.08568756
